title,url,release_date,critic_score,audience_score
Gamera vs. Zigra,https://www.rottentomatoes.com/m/gamera_vs_zigra,1971,,14%
The Seven Minutes,https://www.rottentomatoes.com/m/the_seven_minutes,1971,,41%
Seven Minutes,https://www.rottentomatoes.com/m/seven_minutes,2009,,
Godzilla vs. Hedorah,https://www.rottentomatoes.com/m/godzilla_vs_hedorah,1971,64%,49%
Godzilla vs. Hedorah,https://www.rottentomatoes.com/m/godzilla_vs_the_smog_monster,1971,64%,49%
The Horsemen,https://www.rottentomatoes.com/m/the_horsemen,"Released Jul 24, 1971",30%,57%
Horsemen,https://www.rottentomatoes.com/m/horsemen,"Released Mar 6, 2009",17%,25%
On Any Sunday,https://www.rottentomatoes.com/m/on_any_sunday,"Released Jul 28, 1971",83%,84%
Von Richthofen and Brown,https://www.rottentomatoes.com/m/von_richthofen_and_brown,1971,56%,35%
The Go-Between,https://www.rottentomatoes.com/m/gobetween,"Released Jul 29, 1971",100%,78%
Bless the Beasts and Children,https://www.rottentomatoes.com/m/bless_the_beasts_and_children,"Released Oct 28, 1971",,69%
The Hunting Party,https://www.rottentomatoes.com/m/the_hunting_party,1971,20%,54%
Hunting Party,https://www.rottentomatoes.com/m/hunting_party,2015,,
The Omega Man,https://www.rottentomatoes.com/m/the_omega_man,"Released Aug 1, 1971",65%,53%
The Omega Man,https://www.rottentomatoes.com/m/omega_man,"Released Aug 1, 1971",65%,53%
The Love Machine,https://www.rottentomatoes.com/m/the_love_machine,1971,,
The Love Machine,https://www.rottentomatoes.com/m/love_machine,1971,,
The Mephisto Waltz,https://www.rottentomatoes.com/m/mephisto_waltz,1971,63%,43%
The Hired Hand,https://www.rottentomatoes.com/m/hired_hand,"Released Jan 1, 1971",81%,75%
"Die Screaming, Marianne",https://www.rottentomatoes.com/m/die_screaming_marianne,1970,,11%
Cry Uncle,https://www.rottentomatoes.com/m/cry_uncle,"Released Aug 17, 1971",,64%
The Marriage of a Young Stockbroker,https://www.rottentomatoes.com/m/the_marriage_of_a_young_stockbroker,1971,,
Let's Scare Jessica to Death,https://www.rottentomatoes.com/m/lets_scare_jessica_to_death,1971,36%,50%
Beware of a Holy Whore,https://www.rottentomatoes.com/m/beware_of_a_holy_whore,1971,84%,62%
See No Evil,https://www.rottentomatoes.com/m/see_no_evil,"Released May 19, 2006",10%,50%
The Return of Sabata,https://www.rottentomatoes.com/m/return_of_sabata,"Released Aug 9, 1972",,45%
Red Sun,https://www.rottentomatoes.com/m/red_sun,1970,,
Kotch,https://www.rottentomatoes.com/m/kotch,"Released Sep 17, 1971",75%,68%
Dracula vs. Frankenstein,https://www.rottentomatoes.com/m/dracula_vs_frankenstein,1970,,18%
Desperate Characters,https://www.rottentomatoes.com/m/desperate_characters,1971,,40%
"Unman, Wittering and Zigo",https://www.rottentomatoes.com/m/unman_wittering_and_zigo,1971,40%,82%
The Last Rebel,https://www.rottentomatoes.com/m/the_last_rebel,1961,,
The Trojan Women,https://www.rottentomatoes.com/m/trojan_women,"Released Sep 27, 1971",,52%
"Tiki, Tiki",https://www.rottentomatoes.com/m/tiki_tiki,"Released Dec 26, 1971",,
And Now for Something Completely Different,https://www.rottentomatoes.com/m/and_now_for_something_completely_different,1972,88%,87%
The Last Movie,https://www.rottentomatoes.com/m/the_last_movie,2012,,
The Last Movie,https://www.rottentomatoes.com/m/last_movie,1971,50%,52%
The Skin Game,https://www.rottentomatoes.com/m/the_skin_game,1971,,
Zeppelin,https://www.rottentomatoes.com/m/zeppelin,1971,,50%
The French Connection,https://www.rottentomatoes.com/m/the_french_connection,"Released Oct 7, 1971",96%,87%
The French Connection,https://www.rottentomatoes.com/m/french_connection,"Released Oct 7, 1971",96%,87%
Shootout,https://www.rottentomatoes.com/m/shoot_out,1971,20%,44%
A Safe Place,https://www.rottentomatoes.com/m/a_safe_place,"Released Oct 29, 1971",,23%
Bunny O'Hare,https://www.rottentomatoes.com/m/bunny_ohare,"Released Oct 18, 1971",,36%
Catlow,https://www.rottentomatoes.com/m/catlow,1971,,38%
The Organization,https://www.rottentomatoes.com/m/organization,1971,25%,29%
Play Misty for Me,https://www.rottentomatoes.com/m/play_misty_for_me,1971,85%,71%
The Todd Killings,https://www.rottentomatoes.com/m/the_todd_killings,"Released Oct 20, 1971",,
A Dangerous Friend,https://www.rottentomatoes.com/m/todd_killings,1971,,
T.R. Baskin,https://www.rottentomatoes.com/m/tr_baskin,1971,0%,
The Last Picture Show,https://www.rottentomatoes.com/m/last_picture_show,"Released Jan 1, 1971",98%,89%
Big Boss,https://www.rottentomatoes.com/m/big_boss,1995,,48%
Joe Hill,https://www.rottentomatoes.com/m/joe_hill,1971,50%,89%
Bleak Moments,https://www.rottentomatoes.com/m/bleak_moments,1971,,70%
Captain Apache,https://www.rottentomatoes.com/m/captain_apache,1971,,35%
A Fistful of Dynamite,https://www.rottentomatoes.com/m/duck_you_sucker,1971,92%,83%
"I, Monster",https://www.rottentomatoes.com/m/i_monster,1971,,40%
Fiddler on the Roof,https://www.rottentomatoes.com/m/fiddler_on_the_roof,"Released Jan 1, 1971",81%,92%
Black Noon,https://www.rottentomatoes.com/m/black_noon,1971,,
Hannie Caulder,https://www.rottentomatoes.com/m/hannie_caulder,1971,60%,54%
Jennifer on My Mind,https://www.rottentomatoes.com/m/jennifer_on_my_mind,1971,,0%
Mon Oncle Antoine,https://www.rottentomatoes.com/m/mon_oncle_antoine,1971,,77%
Who Killed Mary What's 'er Name?,https://www.rottentomatoes.com/m/who_killed_mary_whats_er_name,1971,,
Duel,https://www.rottentomatoes.com/m/duel,2013,,
The Christian Licorice Store,https://www.rottentomatoes.com/m/the_christian_licorice_store,1971,,
Black Beauty,https://www.rottentomatoes.com/m/black_beauty,2021,,
Man in the Wilderness,https://www.rottentomatoes.com/m/man_in_the_wilderness,1971,,71%
Bleak Moments,https://www.rottentomatoes.com/m/bleak_moments,1971,,70%
Brian's Song,https://www.rottentomatoes.com/m/brians_song,2001,,77%
The Day of the Wolves,https://www.rottentomatoes.com/m/day_of_the_wolves,"Released May 28, 1972",,75%
Born to Win,https://www.rottentomatoes.com/m/born_to_win,"Released Dec 1, 1971",29%,35%
Chandler,https://www.rottentomatoes.com/m/chandler,1971,,5%
Family Life,https://www.rottentomatoes.com/m/family_life,1971,,60%
Believe in Me,https://www.rottentomatoes.com/m/believe_in_me,"Released Mar 9, 2007",60%,74%
Gumshoe,https://www.rottentomatoes.com/m/gumshoe,1972,88%,54%
"Happy Birthday, Wanda June",https://www.rottentomatoes.com/m/happy_birthday_wanda_june,"Released Dec 9, 1971",,75%
The Decameron,https://www.rottentomatoes.com/m/decameron,"Released Dec 12, 1971",79%,75%
Made for Each Other,https://www.rottentomatoes.com/m/made_for_each_other,"Released Feb 10, 1939",,56%
Bedknobs and Broomsticks,https://www.rottentomatoes.com/m/bedknobs_and_broomsticks,"Released Oct 7, 1971",67%,74%
The Hospital,https://www.rottentomatoes.com/m/the_hospital,"Released Dec 14, 1971",100%,73%
The Hospital,https://www.rottentomatoes.com/m/hospital,"Released Dec 14, 1971",100%,73%
There's Always Vanilla,https://www.rottentomatoes.com/m/theres_always_vanilla,"Released Dec 21, 1971",,26%
The Boy Friend,https://www.rottentomatoes.com/m/the_boy_friend,"Released Aug 14, 1926",,
The Boy Friend,https://www.rottentomatoes.com/m/boy_friend,"Released Dec 16, 1971",88%,68%
Lady and the Tramp,https://www.rottentomatoes.com/m/lady_and_the_tramp,"Released Jun 22, 1955",93%,80%
Mary Queen of Scots,https://www.rottentomatoes.com/m/mary_queen_of_scots,"Released Dec 21, 2018",62%,41%
Sometimes a Great Notion,https://www.rottentomatoes.com/m/sometimes_a_great_notion,"Released Jan 19, 1972",100%,77%
Harold and Maude,https://www.rottentomatoes.com/m/harold_and_maude,"Released Jan 1, 1971",86%,93%
Macbeth,https://www.rottentomatoes.com/m/macbeth,1954,,
Such Good Friends,https://www.rottentomatoes.com/m/such_good_friends,1971,,33%
The Gang That Couldn't Shoot Straight,https://www.rottentomatoes.com/m/gang_that_couldnt_shoot_straight,"Released Dec 22, 1971",20%,26%
Minnie and Moskowitz,https://www.rottentomatoes.com/m/minnie_and_moskowitz,"Released Dec 22, 1971",82%,85%
Star Spangled Girl,https://www.rottentomatoes.com/m/star_spangled_girl,"Released Dec 22, 1971",,62%
Bad Man's River,https://www.rottentomatoes.com/m/bad_mans_river,1971,,21%
Dirty Harry,https://www.rottentomatoes.com/m/dirty_harry,"Released Jan 1, 1971",89%,90%
Straw Dogs,https://www.rottentomatoes.com/m/straw_dogs,"Released Dec 29, 1971",82%,82%
Diamonds Are Forever,https://www.rottentomatoes.com/m/diamonds_are_forever,"Released Dec 17, 1971",64%,57%
The Godfather,https://www.rottentomatoes.com/m/the_godfather,"Released Mar 15, 1972",97%,98%
The Godfather,https://www.rottentomatoes.com/m/godfather,"Released Mar 15, 1972",97%,98%
"What's Up, Doc?",https://www.rottentomatoes.com/m/whats_up_doc,"Released Mar 10, 1972",89%,88%
Deliverance,https://www.rottentomatoes.com/m/deliverance,"Released Jul 30, 1972",89%,82%
Jeremiah Johnson,https://www.rottentomatoes.com/m/jeremiah_johnson,"Released Sep 10, 1972",91%,89%
Cabaret,https://www.rottentomatoes.com/m/cabaret,"Released Feb 13, 1972",92%,87%
The Getaway,https://www.rottentomatoes.com/m/the_getaway,2017,,
Getaway,https://www.rottentomatoes.com/m/getaway,"Released Aug 30, 2013",3%,36%
Last Tango in Paris,https://www.rottentomatoes.com/m/last_tango_in_paris,"Released Oct 14, 1972",82%,75%
Lady Sings the Blues,https://www.rottentomatoes.com/m/lady_sings_the_blues,Now Playing,71%,86%
Glass Houses,https://www.rottentomatoes.com/m/glass_houses,"Released Mar 6, 1922",,
The Cowboys,https://www.rottentomatoes.com/m/the_cowboys,"Released Jan 13, 1972",75%,88%
The Cowboys,https://www.rottentomatoes.com/m/cowboys,"Released Jan 13, 1972",75%,88%
Cisco Pike,https://www.rottentomatoes.com/m/cisco_pike,"Released Jan 14, 1972",100%,62%
To Find a Man,https://www.rottentomatoes.com/m/to_find_a_man,1972,,
"X, Y & Zee",https://www.rottentomatoes.com/m/x_y_and_zee,"Released Jan 21, 1972",29%,35%
The Hot Rock,https://www.rottentomatoes.com/m/hot_rock,"Released Jan 26, 1972",78%,69%
Cabaret,https://www.rottentomatoes.com/m/cabaret,"Released Feb 13, 1972",92%,87%
Pocket Money,https://www.rottentomatoes.com/m/pocket_money,1972,50%,31%
The New Land,https://www.rottentomatoes.com/m/the_new_land,"Released Feb 26, 1972",100%,86%
New Land,https://www.rottentomatoes.com/m/new_land,1991,,
Frogs,https://www.rottentomatoes.com/m/frogs,"Released Mar 10, 1972",28%,24%
Silent Running,https://www.rottentomatoes.com/m/silent_running,"Released Mar 10, 1972",71%,66%
"What's Up, Doc?",https://www.rottentomatoes.com/m/whats_up_doc,"Released Mar 10, 1972",89%,88%
Godzilla vs. Gigan,https://www.rottentomatoes.com/m/godzilla_vs_gigan,1972,67%,48%
The Godfather,https://www.rottentomatoes.com/m/the_godfather,"Released Mar 15, 1972",97%,98%
The Godfather,https://www.rottentomatoes.com/m/godfather,"Released Mar 15, 1972",97%,98%
Corky,https://www.rottentomatoes.com/m/corky,1972,,
Pink Flamingos,https://www.rottentomatoes.com/m/pink_flamingos,"Released Apr 11, 1997",84%,72%
The Biscuit Eater,https://www.rottentomatoes.com/m/the_biscuit_eater,"Released May 24, 1940",,100%
The Biscuit Eater,https://www.rottentomatoes.com/m/biscuit_eater,"Released Mar 22, 1972",,48%
Fist of Fury 1991,https://www.rottentomatoes.com/m/fist_of_fury,1991,,
The Concert for Bangladesh,https://www.rottentomatoes.com/m/concert_for_bangladesh,1972,,95%
The Ten Commandments,https://www.rottentomatoes.com/m/the_ten_commandments,2006,,
Fritz the Cat,https://www.rottentomatoes.com/m/fritz_the_cat,"Released Jan 1, 1972",64%,59%
The Culpepper Cattle Company,https://www.rottentomatoes.com/m/the_culpepper_cattle_co,1972,,63%
Buck and the Preacher,https://www.rottentomatoes.com/m/buck_and_the_preacher,1972,84%,62%
Vampire Circus,https://www.rottentomatoes.com/m/vampire_circus,1972,80%,64%
"Play It Again, Sam",https://www.rottentomatoes.com/m/play_it_again_sam,"Released May 4, 1972",97%,89%
The Great Northfield Minnesota Raid,https://www.rottentomatoes.com/m/great_northfield_minnesota_raid,"Released Jun 14, 1972",73%,44%
Hammersmith Is Out,https://www.rottentomatoes.com/m/hammersmith_is_out,1972,29%,56%
The Honkers,https://www.rottentomatoes.com/m/the_honkers,1972,,
Carry on Matron,https://www.rottentomatoes.com/m/carry_on_matron,1973,,64%
The Possession of Joel Delaney,https://www.rottentomatoes.com/m/possession_of_joel_delaney,1972,,36%
Skyjacked,https://www.rottentomatoes.com/m/skyjacked,1972,,26%
Chato's Land,https://www.rottentomatoes.com/m/chatos_land,1972,,57%
Z.P.G.,https://www.rottentomatoes.com/m/zpg,1972,,23%
The Other,https://www.rottentomatoes.com/m/the_other,1999,,
The Final Comedown,https://www.rottentomatoes.com/m/the_final_comedown,1972,,36%
The Final Comedown,https://www.rottentomatoes.com/m/final_comedown,1972,,36%
The War Between Men and Women,https://www.rottentomatoes.com/m/the_war_between_men_and_women,1972,,31%
A Day in the Death of Joe Egg,https://www.rottentomatoes.com/m/a_day_in_the_death_of_joe_egg,1972,,70%
Fillmore,https://www.rottentomatoes.com/m/fillmore,1972,,
Boxcar Bertha,https://www.rottentomatoes.com/m/boxcar_bertha,"Released Jun 13, 1972",56%,33%
The Strange Vengeance of Rosalie,https://www.rottentomatoes.com/m/the_strange_vengeance_of_rosalie,1972,,
One Is a Lonely Number,https://www.rottentomatoes.com/m/one_is_a_lonely_number,1972,,38%
The Assassination of Trotsky,https://www.rottentomatoes.com/m/assassination_of_trotsky,1972,,35%
Shaft's Big Score!,https://www.rottentomatoes.com/m/shafts_big_score,1972,58%,46%
Son of Blob,https://www.rottentomatoes.com/m/beware_the_blob,1972,,21%
Frenzy,https://www.rottentomatoes.com/m/frenzy,"Released Jun 21, 1972",91%,78%
The Groundstar Conspiracy,https://www.rottentomatoes.com/m/groundstar_conspiracy,1972,33%,67%
Ben,https://www.rottentomatoes.com/m/ben,"Released Jun 23, 1972",60%,38%
Prime Cut,https://www.rottentomatoes.com/m/prime_cut,1972,71%,72%
The Candidate,https://www.rottentomatoes.com/m/the_candidate,2013,,
The Candidate,https://www.rottentomatoes.com/m/candidate,"Released Jun 29, 1972",89%,74%
"Come Back, Charleston Blue",https://www.rottentomatoes.com/m/come_back_charleston_blue,1972,,50%
Conquest of the Planet of the Apes,https://www.rottentomatoes.com/m/conquest_of_the_planet_of_the_apes,"Released Jun 30, 1972",52%,46%
Dr. Phibes Rises Again,https://www.rottentomatoes.com/m/dr_phibes_rises_again,"Released Jul 5, 1972",59%,57%
Napoleon and Samantha,https://www.rottentomatoes.com/m/napoleon_and_samantha,"Released Jul 19, 1972",,44%
Butterflies Are Free,https://www.rottentomatoes.com/m/butterflies_are_free,"Released Jul 6, 1972",69%,80%
"Now You See Him, Now You Don't",https://www.rottentomatoes.com/m/now_you_see_him_now_you_dont,1972,80%,57%
Fuzz,https://www.rottentomatoes.com/m/fuzz,1972,,17%
Joe Kidd,https://www.rottentomatoes.com/m/joe_kidd,1972,80%,54%
The Wrath of God,https://www.rottentomatoes.com/m/the_wrath_of_god,1972,,38%
The Man,https://www.rottentomatoes.com/m/the_man,"Released Sep 9, 2005",12%,41%
Man,https://www.rottentomatoes.com/m/man,2014,,
The Thing With Two Heads,https://www.rottentomatoes.com/m/the_thing_with_two_heads,1972,0%,25%
The Thing With Two Heads,https://www.rottentomatoes.com/m/thing_with_two_heads,1972,0%,25%
The Big Bird Cage,https://www.rottentomatoes.com/m/the_big_bird_cage,1972,100%,63%
The Big Bird Cage,https://www.rottentomatoes.com/m/big_bird_cage,1972,100%,63%
Fat City,https://www.rottentomatoes.com/m/fat_city,"Released Jul 26, 1972",100%,84%
Night of the Lepus,https://www.rottentomatoes.com/m/night_of_the_lepus,1972,0%,27%
Deliverance,https://www.rottentomatoes.com/m/deliverance,"Released Jul 30, 1972",89%,82%
The Magnificent Seven Ride!,https://www.rottentomatoes.com/m/magnificent_seven_ride,"Released Aug 1, 1972",,25%
Junior Bonner,https://www.rottentomatoes.com/m/junior_bonner,"Released Aug 2, 1972",92%,62%
Kansas City Bomber,https://www.rottentomatoes.com/m/kansas_city_bomber,"Released Aug 2, 1972",,37%
The New Centurions,https://www.rottentomatoes.com/m/new_centurions,1972,60%,63%
Superfly,https://www.rottentomatoes.com/m/super_fly,1972,93%,70%
Everything You Always Wanted to Know About Sex (But Were Afraid to Ask),https://www.rottentomatoes.com/m/everything_you_always_wanted_to_know_about_sex_but_were_afraid_to_ask,"Released Aug 6, 1972",88%,69%
"Snoopy, Come Home",https://www.rottentomatoes.com/m/snoopy_come_home,"Released Aug 9, 1972",93%,84%
And Now for Something Completely Different,https://www.rottentomatoes.com/m/and_now_for_something_completely_different,1972,88%,87%
To Kill a Clown,https://www.rottentomatoes.com/m/to_kill_a_clown,1972,,20%
Blacula,https://www.rottentomatoes.com/m/blacula,"Released Apr 25, 1972",46%,44%
The Last House on the Left,https://www.rottentomatoes.com/m/the_last_house_on_the_left,"Released Mar 13, 2009",43%,52%
Last House on the Left,https://www.rottentomatoes.com/m/last_house_on_the_left,"Released Aug 30, 1972",65%,50%
Bluebeard,https://www.rottentomatoes.com/m/bluebeard,1963,,70%
Man of the East,https://www.rottentomatoes.com/m/man_of_the_east,1972,,40%
Slaughter,https://www.rottentomatoes.com/m/slaughter,1976,,
The Ruling Class,https://www.rottentomatoes.com/m/ruling_class,"Released Sep 13, 1972",77%,85%
The Discreet Charm of the Bourgeoisie,https://www.rottentomatoes.com/m/the_discreet_charm_of_the_bourgeoisie,"Released Sep 15, 1972",98%,88%
The Discreet Charm of the Bourgeoisie,https://www.rottentomatoes.com/m/discreet_charm_of_the_bourgeoisie,"Released Sep 15, 1972",98%,88%
Cancel My Reservation,https://www.rottentomatoes.com/m/cancel_my_reservation,1972,,22%
Another Nice Mess,https://www.rottentomatoes.com/m/another_nice_mess,"Released Sep 22, 1972",,
Sounder,https://www.rottentomatoes.com/m/sounder,"Released Sep 24, 1972",91%,77%
Solaris,https://www.rottentomatoes.com/m/solaris,"Released Nov 27, 2002",66%,59%
Dracula A.D. 1972,https://www.rottentomatoes.com/m/dracula_ad_1972,1972,27%,40%
Hickey & Boggs,https://www.rottentomatoes.com/m/hickey_and_boggs,"Released Oct 4, 1972",67%,57%
Bad Company,https://www.rottentomatoes.com/m/bad_company,2001,,
